Default Report,,,,,5,4,3,2,1
Last Modified: 2017-01-30 15:30:53 MST,,,,,217,158,64,55,6
,,,,,,,,,
,,,,,,,,,
Q1 - Here is a true caption of a photo: ,,,,,,,,,
 two women stand in a kitchen and wipe down trays.,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
 two women stand in a kitchen.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.00%,1,,,,,,
3,Neither likely nor unlikely,8.00%,2,,,,,,
4,Likely,36.00%,9,,,,,,
5,Very Likely,52.00%,13,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q18 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 a wet child stands in chest deep ocean water.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
the child s playing on the beach.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,8.00%,2,,,,,,
2,Unlikely,64.00%,16,,,,,,
3,Neither likely nor unlikely,4.00%,1,,,,,,
4,Likely,20.00%,5,,,,,,
5,Very Likely,4.00%,1,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q19 - Here is a true caption of a photo: ,,,,,,,,,
 two little boys are standing in a kitchen.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the kitchen is not empty.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.00%,1,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,8.00%,2,,,,,,
4,Likely,32.00%,8,,,,,,
5,Very Likely,56.00%,14,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q20 - Here is a true caption of a photo: ,,,,,,,,,
a couple sits in the grass. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
people are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,8.00%,2,,,,,,
3,Neither likely nor unlikely,12.00%,3,,,,,,
4,Likely,24.00%,6,,,,,,
5,Very Likely,56.00%,14,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q21 - Here is a true caption of a photo: ,,,,,,,,,
3 people on plain boats smiling towards the camera. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
3 smiling people on a boat.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,12.00%,3,,,,,,
3,Neither likely nor unlikely,12.00%,3,,,,,,
4,Likely,20.00%,5,,,,,,
5,Very Likely,56.00%,14,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q22 - Here is a true caption of a photo: ,,,,,,,,,
3 olympic winners posing for a photo on an advertised background.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
some people are having their photo taken.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.00%,1,,,,,,
2,Unlikely,8.00%,2,,,,,,
3,Neither likely nor unlikely,28.00%,7,,,,,,
4,Likely,16.00%,4,,,,,,
5,Very Likely,44.00%,11,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q23 - Here is a true caption of a photo: ,,,,,,,,,
the large white bird grazes the water.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the bird is touching the water.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,12.00%,3,,,,,,
3,Neither likely nor unlikely,8.00%,2,,,,,,
4,Likely,44.00%,11,,,,,,
5,Very Likely,36.00%,9,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
a black dog with a blue collar is jumping into the water.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a dog is going to get wet.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,8.00%,2,,,,,,
3,Neither likely nor unlikely,20.00%,5,,,,,,
4,Likely,24.00%,6,,,,,,
5,Very Likely,48.00%,12,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
the dogs are playing on the bed. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
dogs playing together inside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,12.00%,3,,,,,,
3,Neither likely nor unlikely,16.00%,4,,,,,,
4,Likely,36.00%,9,,,,,,
5,Very Likely,36.00%,9,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q26 - Here is a true caption of a photo: ,,,,,,,,,
these girls are having a great time looking for seashells.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the girls are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.00%,1,,,,,,
2,Unlikely,20.00%,5,,,,,,
3,Neither likely nor unlikely,16.00%,4,,,,,,
4,Likely,36.00%,9,,,,,,
5,Very Likely,24.00%,6,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q16 - Here is a true caption of a photo: ,,,,,,,,,
 swimming in the wide blue ocean.,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
some is staying afloat and moving in water.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,32.00%,8,,,,,,
3,Neither likely nor unlikely,20.00%,5,,,,,,
4,Likely,36.00%,9,,,,,,
5,Very Likely,12.00%,3,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q17 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 a girl bounces in a bounce house.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
a girl is bouncing around.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,16.00%,4,,,,,,
4,Likely,36.00%,9,,,,,,
5,Very Likely,48.00%,12,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q18 - Here is a true caption of a photo: ,,,,,,,,,
 people are shopping for vegetables at an outdoor market.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
people shopping for veggies and fruit at a market.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,8.00%,2,,,,,,
3,Neither likely nor unlikely,12.00%,3,,,,,,
4,Likely,36.00%,9,,,,,,
5,Very Likely,44.00%,11,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q19 - Here is a true caption of a photo: ,,,,,,,,,
a brown and black attack dog being trained by a man holding a stick. ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a dog is being trained by a man.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,8.00%,2,,,,,,
4,Likely,44.00%,11,,,,,,
5,Very Likely,48.00%,12,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q20 - Here is a true caption of a photo: ,,,,,,,,,
the bears are facing each other with their mouths open.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
two bears are looking at each other with mouths open.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,8.00%,2,,,,,,
4,Likely,16.00%,4,,,,,,
5,Very Likely,76.00%,19,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q21 - Here is a true caption of a photo: ,,,,,,,,,
a rescue worker searches with a flashlight under a slab in a ruined building.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a worker searches a ruined building.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.00%,1,,,,,,
3,Neither likely nor unlikely,8.00%,2,,,,,,
4,Likely,40.00%,10,,,,,,
5,Very Likely,48.00%,12,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q22 - Here is a true caption of a photo: ,,,,,,,,,
a big dog and a smaller dog fight over a piece of fabric.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
two dogs fighting over a piece of fabric.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.00%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,28.00%,7,,,,,,
5,Very Likely,68.00%,17,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q23 - Here is a true caption of a photo: ,,,,,,,,,
band plays in tight quarters.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
the band is playing.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,12.00%,3,,,,,,
3,Neither likely nor unlikely,28.00%,7,,,,,,
4,Likely,32.00%,8,,,,,,
5,Very Likely,28.00%,7,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q24 - Here is a true caption of a photo: ,,,,,,,,,
numerous customers browsing for produce in a market ,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
people are shopping.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.00%,1,,,,,,
2,Unlikely,4.00%,1,,,,,,
3,Neither likely nor unlikely,12.00%,3,,,,,,
4,Likely,44.00%,11,,,,,,
5,Very Likely,36.00%,9,,,,,,
,Total,100%,25,,,,,,
,,,,,,,,,
Q25 - Here is a true caption of a photo: ,,,,,,,,,
a man in a yellow shirt and helmet mountain biking down a dusty path.,,,,,,,,,
Here is an alternate caption:,,,,,,,,,
a man is biking down a path.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,8.00%,2,,,,,,
3,Neither likely nor unlikely,12.00%,3,,,,,,
4,Likely,32.00%,8,,,,,,
5,Very Likely,48.00%,12,,,,,,
,Total,100%,25,,,,,,
